#Chrom	Start	End	gene	Strand
chr1	35734567	35734568	ZMYM4	+
chr1	36023036	36023037	KIAA0319L	-
chr1	36023392	36023393	NCDN	+
chr1	36038970	36038971	TFAP2E	+
chr1	36107142	36107143	PSMB2	-
chr1	36184789	36184790	C1orf216	-
chr1	36235550	36235551	CLSPN	-
chr1	36273827	36273828	AGO4	+
chr1	36348809	36348810	AGO1	+
chr1	36396771	36396772	AGO3	+
chr1	36549675	36549676	TEKT2	+
chr1	36554452	36554453	ADPRHL2	+
chr1	36565849	36565850	COL8A2	-
chr1	36615066	36615067	TRAPPC3	-
chr1	36621802	36621803	MAP7D1	+
chr1	36690016	36690017	THRAP3	+
chr1	36771993	36771994	SH3D21	+
chr1	36789754	36789755	EVA1B	-
chr1	36851484	36851485	STK40	-
chr1	36832619	36832620	Unk..100506594	+
chr1	36863492	36863493	LSM10	-
chr1	36916085	36916086	OSCP1	-
chr1	36930039	36930040	MRPS15	-
chr1	36948914	36948915	CSF3R	-
chr1	37499843	37499844	GRIK3	-
chr1	37627163	37627164	MIR4255	+
chr1	37940046	37940047	LINC01137	-
chr1	37940118	37940119	ZC3H12A	+
chr1	37980363	37980364	MEAF6	-
chr1	38019902	38019903	SNIP1	-
chr1	38022519	38022520	DNALI1	+
chr1	38061585	38061586	GNL2	-
chr1	38100490	38100491	RSPO1	-
chr1	38156191	38156192	C1orf109	-
chr1	38158158	38158159	CDCA8	+
chr1	38230823	38230824	EPHA10	-
chr1	38259773	38259774	MANEAL	+
chr1	38273864	38273865	YRDC	-
chr1	38273472	38273473	C1orf122	+
chr1	38325291	38325292	MTF1	-
chr1	38412728	38412729	INPP5B	-
chr1	38455760	38455761	SF3A3	-
chr1	38471233	38471234	FHL3	-
chr1	38478383	38478384	UTP11	+
chr1	38512449	38512450	POU3F1	-
chr1	39325339	39325340	RRAGC	-
chr1	39339049	39339050	MYCBP	-
chr1	39339121	39339122	Unk..100506806	+
chr1	39347288	39347289	GJA9	-
chr1	39407455	39407456	RHBDL2	-
chr1	39456915	39456916	AKIRIN1	+
chr1	39491966	39491967	NDUFS5	+
chr1	39547117	39547118	MACF1	+
chr1	39770569	39770570	HSPE1P8	-
chr1	39875175	39875176	KIAA0754	+
chr1	39957317	39957318	BMP8A	+
chr1	40025369	40025370	PPIEL	-
chr1	40042520	40042521	PABPC4	-
chr1	40030768	40030769	Unk..100506950	+
chr1	40033181	40033182	SNORA55	-
chr1	40105347	40105348	HEYL	-
chr1	40137709	40137710	NT5C1A	-
chr1	40157088	40157089	HPCAL4	-
chr1	40204516	40204517	PPIE	+
chr1	40254532	40254533	BMP8B	-
chr1	40237019	40237020	OXCT2	-
chr1	40254653	40254654	Unk..100287437	+
chr1	40349176	40349177	TRIT1	-
chr1	40367686	40367687	MYCL	-
chr1	40420783	40420784	MFSD2A	+
chr1	40506254	40506255	CAP1	+
chr1	40563141	40563142	PPT1	-
chr1	40627040	40627041	RLF	+
chr1	40713572	40713573	TMCO2	+
chr1	40723732	40723733	ZMPSTE24	+
chr1	40782938	40782939	COL9A2	-
chr1	40872542	40872543	Unk..100286988	-
chr1	40839727	40839728	SMAP2	+
chr1	40916336	40916337	ZFP69B	+
chr1	40943301	40943302	ZFP69	+
chr1	40974432	40974433	EXO5	+
chr1	40997232	40997233	ZNF684	+
chr1	41131323	41131324	RIMS3	-
chr1	41157932	41157933	NFYC.AS1	-
chr1	41157241	41157242	NFYC	+
chr1	41220026	41220027	MIR30E	+
chr1	41222955	41222956	MIR30C1	+
chr1	41249683	41249684	KCNQ4	+
chr1	41328017	41328018	CITED4	-
chr1	41445006	41445007	CTPS1	+
